"Vache";"Catégorie";"Race";"Taureau";"Date Saillie";"Gestation";"Tarissement";"Vêlage Prévu";"Vêlage Réel";"Sexe Veau";"Poids";"Facilité";"Statut";"Notes"
"Metis";"Génisse";"Simmental";"";"2025-05-20";"282";"2026-01-02";"2026-02-26";"";"";"";"";"Terme dépassé";""
"Hyacinte";"Génisse";"Brune";"";"2025-06-02";"282";"2026-01-15";"2026-03-11";"";"";"";"";"Tarie";""
"Justesse";"Génisse";"Simmental";"";"2025-12-15";"282";"2026-07-29";"2026-09-22";"";"";"";"";"Gestante";""
"Fellah";"Génisse";"Simmental";"U 40";"2025-12-30";"282";"2026-08-13";"2026-10-07";"";"";"";"";"Gestante";""
"Igname";"Génisse";"Simmental";"U 40";"2026-01-17";"282";"2026-08-31";"2026-10-26";"";"";"";"";"Gestante";""
"Isis";"Génisse";"Brune";"U 40";"2026-01-20";"282";"2026-09-03";"2026-10-29";"";"";"";"";"Gestante";""
"Justesse";"Génisse";"Simmental";"Ucello";"2025-11-04";"282";"2026-06-18";"2026-08-12";"";"";"";"";"Gestante";""
"Lutece";"Génisse";"Simmental";"Ucello";"2025-10-19";"282";"2026-06-03";"2026-07-28";"";"";"";"";"Gestante";""
"Paella";"Génisse";"Simmental";"Ucello";"2025-10-19";"282";"2026-06-03";"2026-07-28";"";"";"";"";"Gestante";""
"Joyeuse";"Vache";"Simmental";"sirocco";"2025-05-14";"282";"2025-12-27";"2026-02-20";"2026-02-20";"Femelle";"";"1 — Seule";"Vêlée";""
"Tagada";"Vache";"Simmental";"Ucello";"2025-05-02";"282";"2025-12-10";"2026-02-08";"2026-02-08";"Femelle";"";"1 — Seule";"Vêlée";""
"Pygmée";"Génisse";"Autre";"U 40";"2026-02-10";"283";"2026-09-25";"2026-11-20";"";"";"";"";"Gestante";""
"Marguerite";"Génisse";"Simmental";"sirocco";"2025-07-07";"282";"2026-02-19";"2026-04-15";"";"";"";"";"Tarie";""
"Supersayan";"Génisse";"Simmental";"sirocco";"2025-06-15";"282";"2026-01-28";"2026-03-24";"";"";"";"";"Tarie";""